ds,yhat,yhat_lower,yhat_upper
2025-04-30,39.686812833173974,33.46399700319771,46.16690702889371
2025-05-31,42.73846618326435,36.13983268127932,49.376382949049024
2025-06-30,49.83961740009728,43.744472324913424,56.109535194147774
2025-07-31,46.409559155279275,40.22756191214677,52.52651573111858
2025-08-31,38.1473451813362,31.81888025001804,43.902674035473275
2025-09-30,46.67109525600615,40.511951397874384,52.58550872669489
2025-10-31,43.15188896985416,36.67631978991771,49.370178540289125
2025-11-30,35.41875854375825,28.96524719507936,40.9841926710521
2025-12-31,53.59075118676291,46.91748895053324,60.06466106269275
2026-01-31,43.32899380896436,37.128177574483814,49.6729245274481
2026-02-28,58.25484148777757,51.792654368995464,64.24992246137128
2026-03-31,27.963927169487167,21.943080186915246,34.092589918810766
2026-04-30,39.12484501698215,32.87603856556844,45.163132946303136
2026-05-31,42.379473047344334,36.63065855596331,48.733493037570916
2026-06-30,53.17033343593127,47.14184545757159,59.56428921881488
2026-07-31,47.8081179756201,41.96903790284181,54.370359756180896
2026-08-31,37.27524621860793,31.104072498049472,43.56448424679993
2026-09-30,47.477750854135365,41.11390231016638,53.74904017964021
2026-10-31,43.31539766835625,36.79816147352209,48.939912940599534
2026-11-30,32.72754968036449,25.820574445555142,38.89353764259877
